Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
42;F;2006;Eden;141
8;M;2008;Eden;205
25;M;2012;Eden;445
42;M;2014;Eden;615
49;M;2016;Eden;770
39;M;2011;Edgar;248
6;M;2010;Edgard;6
43;M;2007;Edouard;156
34;M;2012;Edouard;347
6;M;2013;Édouard;6
5;M;2012;Edward;15
5;M;2005;El;5
10;M;2010;El;31
8;M;2012;El;45
5;F;2006;Ela;5
21;F;2007;Eléa;65
22;F;2010;Eléa;131
14;F;2013;Eléa;180
6;F;2005;Éléa;6
8;F;2008;Éléa;14
6;F;2012;Éléa;38
7;F;2018;Éléa;70
6;F;2012;Eléanor;11
30;F;2010;Elena;194
37;F;2014;Elena;351
39;F;2016;Elena;440
52;F;2017;Elena;492
7;F;2011;Eléna;73
6;F;2014;Eléna;97
7;F;2013;Éléna;7
5;F;2018;Éléna;17
45;F;2007;Eléonore;202
26;F;2016;Eléonore;589
11;F;2004;Éléonore;11
9;F;2005;Éléonore;20
8;F;2007;Éléonore;40
17;F;2011;Éléonore;88
36;F;2018;Éléonore;311
5;M;2010;Eli;18
9;M;2014;Eli;33
10;F;2005;Elia;24
5;M;2007;Elia;41
18;F;2007;Elia;59
7;M;2009;Elia;85
18;F;2009;Elia;103
8;M;2009;Elian;8
5;F;2010;Eliana;16
9;F;2013;Eliana;31
7;F;2015;Eliana;38
6;F;2004;Eliane;6
85;M;2006;Elias;222
69;M;2008;Elias;380
65;M;2011;Elias;580
58;M;2016;Elias;873
5;M;2007;Élias;13
6;M;2009;Élias;19
6;M;2011;Élias;25
42;M;2007;Elie;152
34;M;2010;Elie;262
5;F;2015;Elie;450
39;M;2016;Elie;489
5;M;2006;Élie;5
9;M;2011;Élie;20
5;M;2004;Eliès;5
25;M;2017;Elijah;149
5;F;2017;Elikya;5
12;F;2010;Elina;78
13;F;2016;Elina;151
8;F;2014;Élina;13
8;F;2004;Eline;8
11;F;2010;Eline;53
9;F;2015;Eline;96
5;F;2014;Éline;17
11;F;2016;Éline;36
6;M;2004;Elio;6
11;M;2010;Elio;74
12;M;2011;Elio;86
15;M;2014;Elio;132
7;M;2011;Elior;12
37;M;2004;Eliot;37
22;M;2012;Eliot;242
81;M;2013;Eliott;697
94;M;2016;Eliott;930
92;M;2018;Eliott;1117
88;F;2004;Elisa;88
73;F;2012;Elisa;664
30;F;2015;Élisa;100
15;F;2018;Élisa;144
24;F;2011;Elisabeth;135
16;F;2018;Elisabeth;266
61;F;2004;Elise;61
72;F;2006;Elise;193
52;F;2016;Elise;811
8;F;2010;Élise;58
15;F;2013;Élise;101
29;F;2014;Élise;130
6;F;2011;Elizabeth;23
29;F;2006;Ella;73
29;F;2007;Ella;102
24;M;2004;Elliot;24
17;M;2014;Ismaïl;114
5;F;2006;Isra;12
5;F;2009;Isra;27
12;F;2016;Israa;28
5;M;2004;Israël;5
31;M;2011;Issa;168
31;M;2013;Issa;226
29;M;2015;Issa;289
45;M;2016;Issa;334
7;M;2007;Issam;34
9;M;2011;Issam;73
7;M;2012;Issam;80
11;M;2013;Issam;91
5;M;2011;Issiaka;5
12;M;2008;Ivan;74
12;M;2010;Ivan;103
21;M;2014;Ivan;167
12;M;2009;Iyad;12
14;M;2009;Iyed;14
8;M;2010;Iyed;22
5;M;2017;Izaac;5
8;F;2016;Izia;53
6;F;2018;Izïa;6
9;M;2006;Jack;17
6;M;2007;Jacob;12
5;M;2011;Jacob;34
14;M;2017;Jacob;92
5;F;2011;Jacqueline;5
17;M;2006;Jacques;57
11;M;2004;Jad;11
9;M;2006;Jad;29
9;M;2007;Jad;38
12;M;2009;Jad;62
24;M;2013;Jad;125
27;M;2015;Jad;167
149;F;2009;Jade;800
126;F;2012;Jade;1203
15;M;2013;Jaden;43
6;M;2006;Jalil;6
7;M;2018;Jalil;43
16;M;2006;James;38
16;M;2007;James;54
28;M;2017;James;305
42;M;2018;James;347
5;M;2005;Jamil;5
6;F;2012;Jana;84
24;F;2014;Jana;118
7;F;2010;Jane;25
7;F;2017;Jane;46
5;F;2017;Janelle;17
16;F;2018;Janna;132
7;F;2015;Jannah;12
19;F;2004;Jasmine;19
21;F;2005;Jasmine;40
22;F;2006;Jasmine;62
23;F;2009;Jasmine;135
19;F;2012;Jasmine;225
23;F;2013;Jasmine;248
29;F;2015;Jasmine;303
13;M;2009;Jason;66
7;M;2011;Jason;83
11;M;2013;Jason;101
12;M;2014;Jawad;51
5;M;2010;Jayden;10
6;M;2011;Jayden;16
13;M;2012;Jayden;29
15;M;2018;Jayden;147
65;M;2012;Jean;631
71;M;2013;Jean;702
20;M;2006;Jean-Baptiste;70
14;M;2008;Jean-Baptiste;96
11;M;2009;Jean-Baptiste;107
14;M;2010;Jean-Baptiste;121
5;M;2009;Jean-David;10
175;F;2008;Jeanne;860
177;F;2016;Jeanne;2319
183;F;2017;Jeanne;2502
7;F;2007;Jenna;19
9;F;2009;Jenna;37
24;F;2014;Jenna;125
24;F;2015;Jenna;149
22;F;2017;Jenna;184
15;F;2017;Jennah;57
6;F;2006;Jennifer;23
16;M;2009;Jérémie;115
9;M;2012;Jérémie;151
8;M;2013;Jérémie;159
10;M;2015;Jérémie;183
11;M;2006;Jeremy;17
7;M;2011;Jeremy;37
